hour,day_of_week,lighting_factor,crowd_density,historical_incident_density,weather_factor,road_environment_factor,risk_score
0,0,0.25,0.2,0.0,0.0,0.0,62.4
0,0,0.25,0.45,0.0,0.0,0.0,57.9
0,0,0.25,0.7,0.0,0.0,0.0,53.4
0,0,0.25,0.9,0.0,0.0,0.0,49.8
0,0,0.5,0.2,0.0,0.0,0.0,56.4
0,0,0.5,0.45,0.0,0.0,0.0,51.9
0,0,0.5,0.7,0.0,0.0,0.0,47.4
0,0,0.5,0.9,0.0,0.0,0.0,43.8
0,0,0.75,0.2,0.0,0.0,0.0,50.4
0,0,0.75,0.45,0.0,0.0,0.0,45.9
0,0,0.75,0.7,0.0,0.0,0.0,41.4
0,0,0.75,0.9,0.0,0.0,0.0,37.8
0,0,0.9,0.2,0.0,0.0,0.0,46.8
0,0,0.9,0.45,0.0,0.0,0.0,42.3
0,0,0.9,0.7,0.0,0.0,0.0,37.8
0,0,0.9,0.9,0.0,0.0,0.0,34.199999999999996
0,1,0.25,0.2,0.5,0.1,0.1,75.0
0,1,0.25,0.45,0.5,0.1,0.1,70.5
0,1,0.25,0.7,0.5,0.1,0.1,66.0
0,1,0.25,0.9,0.5,0.1,0.1,62.39999999999999
0,1,0.5,0.2,0.5,0.1,0.1,69.0
0,1,0.5,0.45,0.5,0.1,0.1,64.5
0,1,0.5,0.7,0.5,0.1,0.1,59.99999999999999
0,1,0.5,0.9,0.5,0.1,0.1,56.39999999999999
0,1,0.75,0.2,0.5,0.1,0.1,62.99999999999999
0,1,0.75,0.45,0.5,0.1,0.1,58.49999999999999
0,1,0.75,0.7,0.5,0.1,0.1,53.99999999999999
0,1,0.75,0.9,0.5,0.1,0.1,50.39999999999999
0,1,0.9,0.2,0.5,0.1,0.1,59.39999999999999
0,1,0.9,0.45,0.5,0.1,0.1,54.89999999999999
0,1,0.9,0.7,0.5,0.1,0.1,50.39999999999999
0,1,0.9,0.9,0.5,0.1,0.1,46.79999999999999
0,2,0.25,0.2,0.0,0.2,0.2,67.6
0,2,0.25,0.45,0.0,0.2,0.2,63.1
0,2,0.25,0.7,0.0,0.2,0.2,58.6
0,2,0.25,0.9,0.0,0.2,0.2,55.0
0,2,0.5,0.2,0.0,0.2,0.2,61.6
0,2,0.5,0.45,0.0,0.2,0.2,57.1
0,2,0.5,0.7,0.0,0.2,0.2,52.6
0,2,0.5,0.9,0.0,0.2,0.2,49.0
0,2,0.75,0.2,0.0,0.2,0.2,55.6
0,2,0.75,0.45,0.0,0.2,0.2,51.1
0,2,0.75,0.7,0.0,0.2,0.2,46.6
0,2,0.75,0.9,0.0,0.2,0.2,43.0
0,2,0.9,0.2,0.0,0.2,0.2,52.0
0,2,0.9,0.45,0.0,0.2,0.2,47.5
0,2,0.9,0.7,0.0,0.2,0.2,43.0
0,2,0.9,0.9,0.0,0.2,0.2,39.4
0,3,0.25,0.2,0.5,0.3,0.3,80.20000000000002
0,3,0.25,0.45,0.5,0.3,0.3,75.70000000000002
0,3,0.25,0.7,0.5,0.3,0.3,71.2
0,3,0.25,0.9,0.5,0.3,0.3,67.6
0,3,0.5,0.2,0.5,0.3,0.3,74.20000000000002
0,3,0.5,0.45,0.5,0.3,0.3,69.7
0,3,0.5,0.7,0.5,0.3,0.3,65.2
0,3,0.5,0.9,0.5,0.3,0.3,61.599999999999994
0,3,0.75,0.2,0.5,0.3,0.3,68.2
0,3,0.75,0.45,0.5,0.3,0.3,63.699999999999996
0,3,0.75,0.7,0.5,0.3,0.3,59.199999999999996
0,3,0.75,0.9,0.5,0.3,0.3,55.599999999999994
0,3,0.9,0.2,0.5,0.3,0.3,64.6
0,3,0.9,0.45,0.5,0.3,0.3,60.099999999999994
0,3,0.9,0.7,0.5,0.3,0.3,55.599999999999994
0,3,0.9,0.9,0.5,0.3,0.3,51.99999999999999
0,4,0.25,0.2,0.0,0.0,0.4,69.6
0,4,0.25,0.45,0.0,0.0,0.4,65.1
0,4,0.25,0.7,0.0,0.0,0.4,60.6
0,4,0.25,0.9,0.0,0.0,0.4,57.0
0,4,0.5,0.2,0.0,0.0,0.4,63.6
0,4,0.5,0.45,0.0,0.0,0.4,59.1
0,4,0.5,0.7,0.0,0.0,0.4,54.6
0,4,0.5,0.9,0.0,0.0,0.4,51.0
0,4,0.75,0.2,0.0,0.0,0.4,57.6
0,4,0.75,0.45,0.0,0.0,0.4,53.1
0,4,0.75,0.7,0.0,0.0,0.4,48.6
0,4,0.75,0.9,0.0,0.0,0.4,45.0
0,4,0.9,0.2,0.0,0.0,0.4,54.0
0,4,0.9,0.45,0.0,0.0,0.4,49.5
0,4,0.9,0.7,0.0,0.0,0.4,45.0
0,4,0.9,0.9,0.0,0.0,0.4,41.4
0,5,0.25,0.2,0.5,0.1,0.0,73.2
0,5,0.25,0.45,0.5,0.1,0.0,68.7
0,5,0.25,0.7,0.5,0.1,0.0,64.2
0,5,0.25,0.9,0.5,0.1,0.0,60.599999999999994
0,5,0.5,0.2,0.5,0.1,0.0,67.2
0,5,0.5,0.45,0.5,0.1,0.0,62.699999999999996
0,5,0.5,0.7,0.5,0.1,0.0,58.199999999999996
0,5,0.5,0.9,0.5,0.1,0.0,54.599999999999994
0,5,0.75,0.2,0.5,0.1,0.0,61.199999999999996
0,5,0.75,0.45,0.5,0.1,0.0,56.699999999999996
0,5,0.75,0.7,0.5,0.1,0.0,52.199999999999996
0,5,0.75,0.9,0.5,0.1,0.0,48.599999999999994
0,5,0.9,0.2,0.5,0.1,0.0,57.599999999999994
0,5,0.9,0.45,0.5,0.1,0.0,53.099999999999994
0,5,0.9,0.7,0.5,0.1,0.0,48.599999999999994
0,5,0.9,0.9,0.5,0.1,0.0,44.99999999999999
0,6,0.25,0.2,0.0,0.2,0.1,65.8
0,6,0.25,0.45,0.0,0.2,0.1,61.3
0,6,0.25,0.7,0.0,0.2,0.1,56.8
0,6,0.25,0.9,0.0,0.2,0.1,53.199999999999996
0,6,0.5,0.2,0.0,0.2,0.1,59.8
0,6,0.5,0.45,0.0,0.2,0.1,55.3
0,6,0.5,0.7,0.0,0.2,0.1,50.8
0,6,0.5,0.9,0.0,0.2,0.1,47.199999999999996
0,6,0.75,0.2,0.0,0.2,0.1,53.8
0,6,0.75,0.45,0.0,0.2,0.1,49.3
0,6,0.75,0.7,0.0,0.2,0.1,44.8
0,6,0.75,0.9,0.0,0.2,0.1,41.199999999999996
0,6,0.9,0.2,0.0,0.2,0.1,50.199999999999996
0,6,0.9,0.45,0.0,0.2,0.1,45.699999999999996
0,6,0.9,0.7,0.0,0.2,0.1,41.199999999999996
0,6,0.9,0.9,0.0,0.2,0.1,37.599999999999994
1,0,0.25,0.2,0.3,0.1,0.2,72.8
1,0,0.25,0.45,0.3,0.1,0.2,68.3
1,0,0.25,0.7,0.3,0.1,0.2,63.8
1,0,0.25,0.9,0.3,0.1,0.2,60.199999999999996
1,0,0.5,0.2,0.3,0.1,0.2,66.8
1,0,0.5,0.45,0.3,0.1,0.2,62.3
1,0,0.5,0.7,0.3,0.1,0.2,57.8
1,0,0.5,0.9,0.3,0.1,0.2,54.199999999999996
1,0,0.75,0.2,0.3,0.1,0.2,60.8
1,0,0.75,0.45,0.3,0.1,0.2,56.3
1,0,0.75,0.7,0.3,0.1,0.2,51.8
1,0,0.75,0.9,0.3,0.1,0.2,48.199999999999996
1,0,0.9,0.2,0.3,0.1,0.2,57.199999999999996
1,0,0.9,0.45,0.3,0.1,0.2,52.699999999999996
1,0,0.9,0.7,0.3,0.1,0.2,48.199999999999996
1,0,0.9,0.9,0.3,0.1,0.2,44.599999999999994
1,1,0.25,0.2,0.8,0.2,0.3,85.4
1,1,0.25,0.45,0.8,0.2,0.3,80.9
1,1,0.25,0.7,0.8,0.2,0.3,76.4
1,1,0.25,0.9,0.8,0.2,0.3,72.8
1,1,0.5,0.2,0.8,0.2,0.3,79.4
1,1,0.5,0.45,0.8,0.2,0.3,74.9
1,1,0.5,0.7,0.8,0.2,0.3,70.4
1,1,0.5,0.9,0.8,0.2,0.3,66.8
1,1,0.75,0.2,0.8,0.2,0.3,73.4
1,1,0.75,0.45,0.8,0.2,0.3,68.9
1,1,0.75,0.7,0.8,0.2,0.3,64.4
1,1,0.75,0.9,0.8,0.2,0.3,60.8
1,1,0.9,0.2,0.8,0.2,0.3,69.8
1,1,0.9,0.45,0.8,0.2,0.3,65.3
1,1,0.9,0.7,0.8,0.2,0.3,60.8
1,1,0.9,0.9,0.8,0.2,0.3,57.199999999999996
1,2,0.25,0.2,0.3,0.3,0.4,78.00000000000001
1,2,0.25,0.45,0.3,0.3,0.4,73.5
1,2,0.25,0.7,0.3,0.3,0.4,69.0
1,2,0.25,0.9,0.3,0.3,0.4,65.39999999999999
1,2,0.5,0.2,0.3,0.3,0.4,72.0
1,2,0.5,0.45,0.3,0.3,0.4,67.5
1,2,0.5,0.7,0.3,0.3,0.4,63.0
1,2,0.5,0.9,0.3,0.3,0.4,59.4
1,2,0.75,0.2,0.3,0.3,0.4,66.0
1,2,0.75,0.45,0.3,0.3,0.4,61.5
